essay_name,essay_text,hyperlink
Cantillon's System,"Cantillon's System ________________________________________________________ ""The Essai is far more than a mere essay or even collection of disconnected essays like those of Hume. It is a systematic and connected treatise, going over in a concise manner nearly the whole field of economics, with the exception of taxation.. It is thus more than any other book I know, the first treatise on economics...Cantillon's essay is, more emphatically than any other single work, ""the Cradle of Political Economy""."" (William Stanley Jevons, ""Cantillon and the Nationality of Political Economy"", 1881, Contemporary Review) ________________________________________________________ Back General equilibrium theory, indeed much of economics itself, owes its existence to an Irishman who lived obscurely in 18th Century France by the name of Richard Cantillon. In his remarkable Essai sur la Nature du Commerce en Generale (published only in 1755, but written c.1732-1734), Cantillon sets out, perhaps for the first time, the vision of an ""economy"" as a set of interacting markets connected by a price system with balanced circular flows of income between agents. Cantillon's setting was the first great breakthrough in economic theory - for it provided the fundamental structural idea behind the concept of an ""economy"" which was to possess all subsequent economics - Physiocratic, Classical and Neoclassical. We can set up a two-sector model of general equilibrium to illustrate the theory laid out in Cantillon's Essai. Let us have two factors (land and labor) and two goods (necessities and luxuries). Consequently there are four markets in operation and thus four prices to be discovered. To understand this, we need to step back a bit. Cantillon envisioned that we had two classes of people, landlords and laborers, the first owning land and consuming luxuries, the second owning labor and consuming necessities. As such, Cantillon foresaw there would be a ""circular flow of income and expenditure"" between landlords and laborers, the former contributing their land and receiving rents which they subsequently spent on luxuries, the latter contributing their labor and receiving wages and spending those on necessities. Cantillon's idea that ""flows of income"" were the proper subject of economic analysis was already a path-breaking insight, as it tore away from the Mercantilist obsession with the ""stock of wealth"". In Figure 1, we have an intuitive depiction of Cantillon's model. Income flows are represented by the solid arrows: thus income flows from the production of luxuries and necessities to the owners of land and labor. Expenditure flows are noted by the dashed arrows: landowners use their income to purchase luxuries; laborers use their income to purchase necessities. Finally, the total supply of land is assumed to be exogenous to the system, whereas the total supply of labor is endogenously determined by the amount of necessities. This is captured by the broken arrows connected to the total supply of land (T) and the total supply of labor (L).  Figure 1 - Cantillon's system Intuitively, it is easy to see that if flows of income, expenditure and labor supply are not ""balanced"" in some proper manner, then this whole economy could break down. For instance, if laborers do not receive enough wages to buy necessities, then they will starve and die, and thus goods which use labor as inputs are not produced, so that the landlords cannot buy their luxuries and they will also be deprived, etc. Whatever the form of breakdown, it is obvious that balance is hard to obtain. Yet, and this was the second crucial insight, Cantillon believed that such a balance was possible. In other words, he believed there is a way of obtaining a ""natural state"" or a balance of income-expenditure flows, that will not lead to a complete unravelling of the economy. The basic feature of this ""natural state"" is that both landlords and workers receive enough income to consume all necessities and luxuries produced (""market-clearing"") and that enough of these necessities are produced to sustain a desired labor supply level. Land, which Cantillon assumes is exogenously given, is the great constraining factor: it cannot be increased. Technology, or the proportion of labor and land used in the production of the goods, is also assumed to be given. Thus, the ""natural state"" is conditional on the amount of land available and the production technology. If the economic system is to achieve this natural state, Cantillon reasoned, there there must be some mechanism to maintain the balance of income flows. Thus, the third great insight of Cantillon was that ""natural prices"" were precisely that mechanism. We must note that these natural prices are not necessarily the actual market prices in existence at any point in time. There is a difference between the ""natural price"" of a good - or what Cantillon called its ""valeur intrisique"" (""intrinsic value"") - and its ""exchange value"" on the market at any point in time. As Cantillon writes: ""It often happens that many things which have actually this intrinsic value [natural price] are not sold in the market according to that value: that will depend on the humours and fancies of men and on their consumption...There is never a variation in intrinsic values, but the impossibility of proportioning the production of merchanise in a state to their consumption [i.e.""natural state""] causes a daily variation and a perpetual ebb and flow of market prices."" (R. Cantillon, 1755: Part I, Ch.10) Thus, ""natural prices"" are determined by the natural state, the balance of income-expenditure flows. In contrast, ""market prices"" are determined by what can be termed ""demand-and-supply"". Cantillon did not relate the two prices to each other very clearly: rather, as Schumpeter notes, Cantillon ""was led to treat market price as a separate phenomenon and to restrict the supply and demand explanation to it. Thus emerged the...formula: normal price is determined by cost, market price is determined by supply and demand. "" (Schumpeter, 1954: p.220). [As such, it is interesting to note, therefore, that not only was Cantillon the father of Classical theory, he was also, via his demand-and-supply, the father of Neoclassical theory - which is why Jevons (1881), went to such efforts to dig him out of obscurity. However, the path-breaking Cantillon was also the father of other things: via his emphasis on subjective ""fancy"" and his theory of entrepreneurship and uncertainty, he could be also said to be the father of Austrian economics and, via his explicit account of an endogenous flow-based quantity theory of money, he can also be said to be the father of modern monetary economics See F.A. Hayek (1936), J.J. Spengler (1954), G.L.S. Shackle (1982) and A. Murphy (1986) for retrospective accounts of Cantillon's manifold path-breaking contributions.] Let us proceed with a rather simple mathematical restatement of Cantillon's two-sector general equilibrium system (following Brems, 1986). Land (T) and labor (L) are both used to produce luxuries (XU) and necessities (XN). Nothing else is needed and the technology is a fixed proportions technology, so we can employ unit input coefficients, aTU, aTN, aLU and aLN where the coefficient aij represents the amount of input i needed to produce a single unit of output j, or aij = Fi/Xj where Fi is the factor i (in our case, either labor or land). Both labor and land are necessary to produce necessities and luxuries, so all these coefficients are positive. The amount of labor necessary to produce XN units of necessities is simply calculated as: LN = aLNXN Thus, if we are given the size of outputs, XN and XU, then by our fixed technology, following the same logic, we can figure out the other factor demands, LU, TN, TU using the other remaining technology coefficients in an analagous way, i.e. TN = aTNXN is the amount of land employed to produce XN necessities while LU = aLUXU and TU = aTUXU are, respectively, the land and labor required to produce XU units of luxuries. Thus, the total demand for land and labor is L = LN + LU and T = TN + TU. Cantillon proposed that total land, T, was ""given"". But total employment, L, he thought was variable and, indeed, endogenous to the system. He noted that labor was endogenous, that is, he thought that human reproduction was ""encouraged"" by the consumption of necessities. This peculiar notion is a perennial, if anachronistic, concept that pervades Classical economics. As Cantillon (1755: Pt. 1, Ch.15) argued, ""Men multiply like mice in a barn if they have unlimited means of subsistence,"" -- and went on to draw much amusing historical and anecdotal evidence for this. In sum, the amount of necessities produced, XN, will determine the total amount of labor in the economy, L. Let c be some fixed necessities-labor ratio, i.e. the amount of necessities needed to support a single laborer, c = XN/L. Thus the greater or smaller the number of necessities, then the greater or smaller the number of laborers. But what if not enough necessities are produced in the economy to sustain the given population? If there is an excess of laborers, these are, quite simply, starved off. If there is an insufficient, number of laborers, the large amount of necessities will ""encourage"" them to reproduce and increase. Labor supply, L, is thus endogenous to the system. Obviously, these labor supply effects probably take a few generations to work themselves out fully, thus it is clear that Cantillon is thinking in terms of a pretty long horizon of time. In this long-run, Cantillon is careful to note that there will naturally have to also be no profits. His time horizon is long enough that firms will be created and enter and exit production so as to wipe out any profit opportunities. Thus, the production processes, in the long-run, must break even: total revenues must be equal to total costs in each process. Total revenues are merely the price of the commodity multiplied by the amount produced, whereas total costs are the wages and rents paid to the labor and land employed in the production of the goods, or: pNXN = wLN + tTN pUXU = wLU + tTU where (pN, pL) are the prices of necessities and luxuries respectively while (w, t) are the wage and rent per unit of labor and land respectively. Now, if the system is to be balanced in the long run, then enough necessities much be produced to sustain the amount of labor desired. But if this is to be so, then the total wage bill over both industries (wL) must be sufficient to buy up all the necessities at the going prices (pNXN), i.e. wL = pNXN. If not, as Cantillon noted, population will change (for more or for less) and thus we will not have a long run balance. With this condition, we can easily note that plugging this in to our first revenue-cost equality, that: wL = wLN + tTN or as wL = w(LN+LU) by the definition of L, then wLU = tTN. But then plugging this into our second price-cost equality: pUXU = tTN + tTU so, obviously, we attain a second condition: pUXU = tT, by the definition of T. Thus, the rent bill received by landlords must exactly pay for the production of luxuries. These are the conditions for a long-run, sustainable economic system. The issue is now whether we can find a set of prices (w, t, pN, pU) which can maintain such a system. The solution is straightforward. Given the labor survivability condition, c = XN/L, and knowing that wL = pNXN, then obviously: w/pN = c the ""real wage"" is merely the cost of sustaining of a single laborer alive. What about rent? Well, let us divide our revenue-cost equalities by the respective outputs of labor and land, so: pN = wLN/XN + tTN/XN = waLN + taTN pU = wLU/XU + tTU/XU = waLU + taTU which merely states that the price of a commodity must equal the cost of production of a single unit of it (note our use of the definition of unit input coefficients). Now, from our definition of the real wage, w = cpN, so plugging that into our first price-cost equality: pN = cpNaLN + taTN and re-arranging: pN = taTN/(1 - caLN) we obtain the price of the necessary good. For the luxury good, we start by doing the same: pU = cpNaLU + taTU only now we use our expression for pN and obtain: pU = caLUtaTN/(1 - caLN) + taTU thus, solving for t/pU, after some algebraic manipulation: t/pU = (1 - caLN)/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) where t/pU is the ""real rent"" rate. Thus, we have obtained expressions for real wages and real rents as a function of the ""technological"" coefficients. Thus, apparently, no other consideration was necessary. The factor prices seem to be completely determinate. Or are they? We have yet to find pN and pU, which express our ""real"" factor prices, w/pN and t/pU. This set of prices is exceedingly simple. We just multiply the expression for t/pU by our earlier expression for pN: pN(t/pU) = taTN(1 - caLN)/(1 - caLN)(aTU + caTNaTU(aLU/aTU - aLN/aTN)) or, cancelling out t and (1-caLN): pN/pU = aTN/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) which thus expresses the price of commodities as a function of the technological coefficients, c, aLU, aTU, aLN, aTN. Thus, relative prices are completely determined by technological conditions alone. We need not add any other components (notably, preferences/utility-based demand) into our analysis. But Richard Cantillon sought to reduce labor to land. In other words, he felt that labor should not be thought as contributing to value (i.e. prices) but rather only land. Labor, as we noted, was a technologically-produced ""thing"" dependent on necessities. As a result, the only ""creator"" of value, Cantillon held, was land. Land contributed to prices ""directly"" (through their own contributions to production) and ""indirectly"" (through creating the necessities necessary to sustain labor). As he writes: ""the intrinsic value of any thing may be measured by the quantity of land used in its production and the quantity of labor which enter into it, in other words, by the quantity of land of which the produce is allotted to those who have worked on it; and as all the land belongs to the prince and the landowners, all things which have this intrinsic value have it only at their expense."" (Cantillon, 1755: Part 1, Ch. 11). How can we see this reduction of labor to land? Note that we have labor coefficients, aLU and aLN in our price equation but also note that these enter solely in the bracketed term in the denominator, (aLU/aTU - aLN/aTN). Now, these coefficient ratios are merely labor-land ratios, or factor intensity ratios: aLU/aTU is the ""labor per unit of land"" in producing luxuries and aLN/aTN is the ""labor per unit of land"" in producing necessities. We can alternatively think of these ratios as the ""amount of land necessary to sustain labor"". The greater the labor-intensity, the greater the amount of land ""indirectly absorbed"" (via labor) to produce goods. Note that if we have equal factor intensities in both sectors (aLU/aTU = aLN/aTN), then our price equation reduces to pN/pU = aTN/aTU, a pure land term. Note also that if luxuries are relatively more labor intensive, (i.e. aLU/aTU > aLN/aTN), then pN/pU < aU/aTN - or, in other words, the prices of luxuries are greater than necessities in terms of their direct land component because they have a greater ""indirect"" use of land (via labor). Similarly, if necessities are relatively more labor intensive, (i.e. aLU/aTU < aLN/aTN), then pN/pU > aTU/aTN, necessities are relatively more valuable than their pure land components indicate - again because of their greater indirect absorption of land. Thus, directly or indirectly, the relative amounts of land absorbed determine relative prices. We have reduced labor to land and thus we have a ""land theory of value"" - which Cantillon announced with his opening sentence: ""The land is the source or matter from whence all wealth is produced."" (Cantillon, 1755: p.2). So much for prices, but in a general equilibrium system, quantities must also be ascertained. In Cantillon's theory, these are easy to derive. Recall that we obtained the wage bill and rent bill equalities: wL = pNXN   or     w/pN = XN/L tT = pUXU     or      t/pU = XU/T thus, using our previous expressions for w/pN and t/pU, we obtain: XN/L = c XU/T = (1 - caLN)/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) Everything is alright for XU, but what about XN? We can reduce the first term further by recalling that L = LN + LU = aLNXN + aLUXU by the definition of total labor and technology. Thus plugging that into our first term: XN(aLNXN + aLUXU) = c which, rearranging, yields: XN = caLUXU/(1 - caLN) But we can now plug in our expression for XU: XN = caLUT(1 - caLN)/(1 - caLN)(aTU + caTNaTU(aLU/aTU - aLN/aTN)) cancelling terms: XN = caLUT/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) Finally, multiplying our term for XU/T by T: XU = (1 - caLN)T/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) Et voilá! - we have the expressions for the ""equilibrium"" amounts of goods XN and XU produced. Again, note that they are functions solely of the technical coefficients and the amount of land in the economy, T. What about quantities of factors? Total land (T) was assumed fully employed by Cantillon. On the other hand, as we noted earlier, total labor (L) was presumed to be endogenous. The amount of labor employed can be easily calculated: namely, recall that L = aLNXN + aUXU, therefore all we need to do is to plug in the corresponding values of XN and XU we have just derived, i.e. L = (aLNcaLUT + aLU(1-caLN)T)/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) or simply: L = aLUT/(aTU + caTNaTU(aLU/aTU - aLN/aTN)) which is labor employed - also a function of technical coefficients and the amount of land T. As we have seen, Cantillon had a fully-determined two-sector general equilibrium system; he had four markets, that of land, labor, luxuries and necessities and he could obtain four quantities and prices for them (where, naturally, all prices are ""relative"" prices, i.e. price ratios). The relative prices and relative quantities are determined by the relative absorption of land by the two goods, i.e. by the technical coefficients. The absolute quantities produced and the total level of employment vary directly with the total amount of land, T.   Selected References: H. Brems (1986) Pioneering Economic Theory, 1630-1980: A mathematical restatement, Baltimore: Johns Hopkins University Press. R. Cantillon (1755) Essay on the Nature of Commerce. H. Higgs translation, 1931, London: Macmillan. Friedrich A. Hayek (1936) ""Richard Cantillon, sa vie, son oeuvre"", Revue de Sciences Economiques, as translated and reprinted in Collected Works of F.A. Hayek, Vol. 3: The Trend of Economic Thinking: Essays on political economy and economic history. Chicago: University of Chicago Press. Antoin Murphy (1986) Richard Cantillon: Entrepreneur and economist. Oxford: Clarendon. G.L.S. Shackle (1982) ""Cantillon Far Ahead of His Time"", in Homenaje a Lucas Beltran. Madrid: Editorial Moneda y Crédito. Reprinted in S.F. Frowen, editor, Business, Time and Thought: Selected papers of G.L.S. Shackle. New York: New York University Press. J.A. Schumpeter (1954) History of Economic Analysis. New York: Oxford University Press. Joseph J. Spengler (1954) ""Richard Cantillon: First of the moderns"", Journal of Political Economy, Vol. 62, p.281-95, 406-24.   Top Back   All rights reserved, Gonçalo L. Fonseca",https://www.hetwebsite.net/het/essays/youth/cantsys.htm
Quesnay's Tableau Economique,"Physiocracy Back   Contents (A)- Introduction (B) Quesnay's Tableau Économique
        (1) Nomenclature
        (2) Summary of the Tableau (C) The Tableau in Detail
        (0) Preliminaries
        (1) The Initial Position
        (2) Initial Injection
        (3) Zig-Zag Process
        (4) Capital Stage
                (a) The Sterile Sector
                (b) The Productive Sector
        (5) Production Stage
        (6) Closing the Circuit: Rent stage
        (7) Expanding the Zig-Zag. (D) Physiocratic Fiscal Doctrine
        (1) Rent and the Surplus
        (2) The Tax-Equivalence Hypothesis
        (3) The Single Tax (E) The Physiocrats and the State
        (1) Fiscal Insanity in the Ancien Régime
        (2) Physiocrats vs. Bureaucrats
        (3) A Political Education (F)  Physiocracy: Selected References   Top Back   All rights reserved, Gonçalo L. Fonseca",https://www.hetwebsite.net/het/essays/physioc/physiocont.htm
The Classical Ricardian System," ( Click Picture to Enter Site) ""Theocritus and Homer bored him;
If true delight you would afford him
You'd give him Adam Smith to read.
A deep economist, indeed,
He talked about the wealth of nations;
The state relied, his friends were told,
Upon its staples, not on gold --
This subject filled his conversations.
His father listened, frowned and groaned,
And mortgaged all the land he owned."" (Alexander Pushkin, Eugene Onegin, 1833: 1.VII) ""[A]lthough Adam Smith's great work professed to deal with the causes of the wealth of nations,...from the point of view of the history of theoretical economics, the central achievement of his book was his demonstration of the mode in which the division of labour tended to be kept in equilibrium by the mechanism of relative prices -- a demonstration which...is in harmony with the most refined apparatus of the modern School of Lausanne. The theory of value and distribution was really the central core of the analysis of the Classics, try as they might to conceal their objects under other names."" (Lionel C. Robbins, Essay on the Nature and Significance of Economic Science, 1932: p.68-9). ""Political Economy, you think, is an enquiry into the nature and causes of wealth -- I think it should rather be called an enquiry into the laws which determine the division of produce of industry amongst the classes that concur in its formation. No law can be laid down respecting quantity, but a tolerably correct one can be laid down respecting proportions. Every day I am more satisfied that the former enquiry is vain and delusive, and the latter the only true object of the science."" (David Ricardo, ""Letter to T.R. Malthus, October 9, 1820"", in Collected Works, Vol. VIII: p.278-9). ""I saw that [economists] were generally the very dregs and rinsings of the human intellect; and that any man of sound head, and practised in wielding logic with a scholastic adroitness, might take up the whole academy of modern economists, and throttle them between heaven and earth with his finger and thumb, or bray their fungus heads to powder with a lady's fan. At length, in 1819, a friend in Edinburgh sent me down Mr. Ricardo's book: and recurring to my own prophetic anticipation of the advent of some legislator for this science, I said, before I had finished the first chapter, ""Thou art the man!"".... Had this profound work been really written in England during the nineteenth century?....Could it be that an Englishman, and he not in academic bowers, but oppressed by mercantile and senatorial cares, had accomplished what all the universities of Europe, and a century of thought, had failed even to advance by one hair's breadth? All other writers had been crushed and overlaid by the enormous weight of facts and documents; Mr. Ricardo had deduced, a priori, from the understanding itself, laws which first gave a ray of light into the unwieldy chaos of materials, and had constructed what had been but a collection of tentative discussions into a science of regular proportions, now first standing on an eternal basis."" (Thomas de Quincey, Confessions of an English Opium-Eater, 1821: p.99-100) ""The theories of production and distribution arrived at in the first half of the nineteenth century must be visited with almost unqualified condemnation."" (Edwin C. Cannan, History of the Theories of Production and Distribution, 1893: p.302). ""Happily, there is nothing in the laws of Value which remains for the present or any future writer to clear up; the theory of the subject is complete: the only difficulty to be overcome is that of so stating it as to solve by anticipation the chief perplexities which occur in applying it."" (John Stuart Mill, Principles of Political Economy, 1848: Book III, Ch. 1). ""Every page of [Mill's] work is full of the most glaring ignorance and blunders; and there is scarcely a single point in which he does not contradict himself. Now, in sober seriousness, we must ask how is this more consistent with scientific morality than cheating at cards, or forgery, or issuing base coin."" (Henry Dunning Macleod, History of Economics, 1896: p.123)   All rights reserved, Gonçalo L. Fonseca
   ",https://www.hetwebsite.net/het/essays/classic/classic.htm
von Neumann Systems,"Von Neumann System Back ________________________________________________________ ""The greatest single intellectual mistake in my career occurred when Schumpeter came to me in 1938 or '39 and asked me to report on a very important new publication: the von Neumann paper given at the Menger seminar...I rashly judged it to be totally unrealistic...[and] reported back to Schumpeter that it was no more than a piece of mathematical ingenuity, failing to see that it contained two aspects close to Schumpeter's heart - a rigorous solution to Walras's central problem and a demonstration that the rate of profit arose from growth not a quantity of capital...I found no reference [in Schumpeter's History] to what now appears to me to be one of the great seminal works of this century, the omission being possibly the result of my own blindness."" (Richard M. Goodwin, ""Personal Perspective on Mathematical Economics"", BNLQR, 1985). ________________________________________________________   Data  Activity Analysis Technology: There are k technological processes indexed m = 1....k. The ""intensity of use"" of the mth process denoted by coefficient 0 £zm£ 1. By intensity, we mean the proportion of the total economy that uses that process. Thus:
If, for any mth process, zm = 0, then the mth process is not used at all.
If zm = 1 then the mth process is used at ""full intensity"" (i.e. all the economy's output uses this process).
Thus the intensity of use of a single process, zm, is measured as the fraction of total output produced dedicated to using process m. Let there be n commodities indexed i = 1, ..., n.
ami denotes use of commodity i as an input in process m if m is used at full intensity.
bmi denotes output of commodity i by process m if m is used at full intensity. Thus: We have n prices, pi from i = 1...n normalized in a unit simplex (i.e. åpi = 1)  Conditions with No Growth: (1) Quantity Side: Let an economy be ""self-replacing"" (produces outputs that it needs as inputs with the same set of intensities). Thus, total output of good i from all processes must be sufficient to meet total demand for good i as an input into all processes:  If total output exceeds total input demand (strict inequality holds) for any good i then pi = 0 (excess supply of i implies i is a free good). Letting z be an intensity vector and A the input matrix (typical element = ami) and B the output matrix (typical element = bmi), this system can be rewritten:  (2) Price Side: Assuming an independent budget for each process and perfect competition (no rents), then total revenue obtained from the sale of output of a process cannot exceed the costs of inputs in the process:   Conditions (with growth) We assume intensity grows at the balanced exponential rate (1+g). Thus, zm(t+1) = (1+g)zm(t). Thus, for the quantity side, total outputs in this period must meet total input demands in the next period, i.e.  or:  Similarly, we assume a uniform rate of profit (surplus) which gives us a rate of decay of price: pi(t+1) = pi(t)/(1+r). Thus the surplus is transformed into a simple uniform rate of interest for intertemporal discounting. We thus obtain:   Further restrictions are imposed by von Neumann (1937) including non-negativity of z and p and the condition that every good is part of every process either as input or as output. This last was loosened by Kemeny, Morgenstern and Thompson (1956) and replaced with:  These are often known as the ""KMT"" conditions. An appropriate fixed point theorem proves existence of solution for quadruplet (z*, p*, g*, r*). Result There will be a pair (p*, z*) which solves our equation and gives us the Golden Rule, g* = r* for a maximal growth rate and a minimal interest rate. The Golden Rule can be easily shown. By the excess supply rule for free goods, then pre-multiplying the first equation by the price vector:  where the strict equality will hold by the free goods assumption. Similarly, by the excess cost rule, then post-multiplying the second equation by the intensity vector:  where the strict equality holds by the excess cost assumption. Then, obviously:  Thus the solution, the von Neumann ""ray"", will have maximum growth and minimal profit rate equal to each other (Golden Rule). Outline of Proof: John von Neumann used his 1928 game-theoretic ""minimax"" theorem of saddlepoint as contraction mapping:  i.e. if min and max are contractible for ¦(x0, y0), then ¦ has a saddle point. So, think of a game of ""Producer"" versus ""Competition"": Producer attempts to maximize growth, competition attempts to minimize profits. Recall that we want (z, g) from quantity side and (p, r) from price side. So game is as follows:  Competition (Price Side): for given p, take maximum r, i.e. (1+r) = maxm(pB/pA). Then choose p which yields the lowest of the maximum r, i.e. find p such that (1+r)* = minimaxm(pB/pA). Existence of minumum r* exists by KMT(2). Then construct mapping F (p, z) = pBz/pAz (which is positive by KMT(3)). von Neumann then shows that given a z = z0, then this function reaches a minimum for p whereas, given p = p0, then this function reaches a maximum for z. If there is a solution, then that solution is characterized as  so the solution to the system, F (p0, z0) = F(p*, z*), is the saddlepoint. Does it exist? Take a particular z0 and associated with this vector is a non-empty, convex, compact set of price vectors P(z0) each of which minimize the function F(p, z0). Equivalently, with some initial p0, we can associate a non-empty, convex, compact set of intensity vectors, Z(p0), each of which maximize the function F(p0, z). A ""fixed point"" is a pair of vectors (p*, z*) Î (P(z*), Z(p*)). von Neumann provides sufficient conditions for the existence of such a fixed point and proves that it is the saddlepoint. Go on to ""Von Neumann System with Consumption"" ________________________________________________________ Selected References: John von Neumann (1937) ""Über ein ökonomisches Gleichungssystem und eine Verallgemeinerung des Brouwerschen Fixpunktsatzes"",  1937, in K. Menger, editor, Ergebnisse eines mathematischen Kolloquiums, 1935-36. [English 1945 trans. as ""A Model of General Economic Equilibrium"", Review of Economic Studies, Vol. 13 (1), p.1-9.]. J.G. Kemeny, O. Morgenstern and G.L. Thompson (1956) ""A Generalization of the von Neumann Model of an Expanding Economy"", Econometrica, Vol. 24 (2), p.115-35. M. Dore, S. Chaktravarty and R. Goodwin (1989), editors, John von Neumann and Modern Economics. Oxford: Clarendon Press.  ________________________________________________________ Top Back   All rights reserved, Gonçalo L. Fonseca",https://www.hetwebsite.net/het/essays/classic/vonsystem.htm
The Marginalist Revolution of 1871-4," ( Click Picture to Enter Site) ""In fact, the whole world may be looked upon as a vast general market made up of diverse special markets where social wealth is bought and sold.  Our task then is to discover the laws to which these purchases and sales tend to conform automatically.   To this end, we shall suppose that the market is perfectly competitive, just as in pure mechanics we suppose to start with, that machines are perfectly frictionless."" (Léon Walras, Elements of Pure Economics, 1874: p.84). ""On the following pages I submit to public judgement the result of twenty years of meditation. What a Copernicus succeeded in explaining of the relationships of worlds in space, that I believe I have performed for the explanations of men on earth."" (Hermann Heinrich Gossen, Development of the Laws of Exchange among Men 1854: p.1) ""The conclusion to which I am ever more clearly coming is that the only hope of attaining a true system of Economics is to fling aside, once and for ever, the mazy and preposterous assumptions of the Ricardian School. Our English Economists have been living in a fool's paradise. The truth is with the French School, and the sooner we recognize this fact, the better it will be for the world."" (William Stanley Jevons, Theory of Political Economy, 1871: p.xliv-xlv). ""[Jevons's] success was aided even by his faults. For under the honest belief that Ricardo and his followers had rendered their account of the causes that determine value hopelessly wrong by omitting to lay stress on the law of satiable wants, he led many to think he was correcting great errors; whereas he was really only adding very important explanations."" (Alfred Marshall, Principles of Economics, 1890: p.84-85). ""If, instead of welcoming inquiry and criticism, the admirers of a great author accept his writings as authoritative, both in their excellences and in their defects, the most serious injury is done to truth. In matters of philosophy and science, authority has ever been the great opponent of truth. A despotic calm is usually the triumph of error. In the republic of the sciences, sedition and even anarchy are beneficial in the long run to the greatest happiness of the greatest number."" (William Stanley Jevons, Theory of Political Economy, 1871: p.275-6) ""In the closing quarter of the last century, great hopes were entertained by economists with regard to the capacity of economics to be made an ""exact science"". According to the view of the foremost theorists, the development of the doctrine of utility and value had laid the foundation of scientific economics in exact concepts, and it would soon be possible to erect upon the new foundation a firm structure of interrelated parts which, in definiteness and cogency, would be suggestive of the severe beauty of the mathematico-physical sciences. But this expectation has not been realized."" (Henry L. Moore, Economic Cycles,1914: p.84-85)   All rights reserved, Gonçalo L. Fonseca
   ",https://www.hetwebsite.net/het/essays/margrev/margrev.htm
