name,date_range,hyperlink,page_text
Anonymous, ?-?,https://www.hetwebsite.net/het/profiles/anonymous.htm," Not a prolific, long-lived author who wrote a myriad of tracts in the course of several centuries. Just a list of major unsigned works in the history of economics, whose authors have not yet been established. (some tentative attributions)      Major Works of Anonymous 1500-1600 1600-1650 1650-1700 1700-1750 To sort: 1800-1900       Resources on Anonymous    All rights reserved, Gonçalo L. Fonseca"
Louis Paul Abeille, 1719-1807,https://www.hetwebsite.net/het/profiles/abeille.htm,"French lawyer, government official and Physiocrat. Born into a well-connected Breton family, Louis-Paul Abeille served from 1758 as a lawyer in the Breton Estates and king's procurator in the Breton marches.  Abeille became inspector-general of commerce and manufactures.  Having served as Trudaine's secretary, he was appointed in 1768 secretary-general of the Bureau of Commerce in Paris (a position that had been previously promised to Morellet). Despite his provincial roots, Abeille's early writings, notably the Corps d'observation (written under the direction of the Vicent de Gournay) quickly brought him to the attention of Enlightenment economists in Paris.  He was an early convert to Physiocracy, being probably the third disciple of Quesnay, after Mirabeau.  Abeille promoted their ideas in several publications (all anonymous), notably the Principes (which drew praise from the Physiocrats, and was duly attacked by  Forbonnais).  Nonetheless, Abeille seemed attracted more to the laissez-faire policy prescriptions, preferring to focus on the effects of particular barriers to trade, than the general points and nuances of Physiocratic theory. As a result, he was gradually pipped in the master's attentions by the capable young Dupont de Nemours.  It was a quarrel with Dupont that prompted Abeille to break with the Physiocrats after 1768. In his later years, he became increasingly associated with Neo-Colbertistes like Necker. Abeille was one of the leading members of the Société Royale d'Agriculture of Paris (f. 1785).  He was ennobled in 1787 by Louis XVI.      Major Works of Louis-Paul Abeille     Resources on Louis Abeille    All rights reserved, Gonçalo L. Fonseca"
Pierre Abélard, 1079-1142,https://www.hetwebsite.net/het/profiles/abelard.htm," Early French Scholastic logician, philosopher, theologian and teacher at Paris, pioneer of the ""Scholastic method"". Not an economist by any stretch of the imagination, but important for the early history of Scholasticism, in bringing Aristotlean logic to bear on Christian theology. Abelard pioneered the method of finding contradictions in authoritative texts and resolving them rationally (e.g. Sic et Non).  On the basis of the then-thin corpus of Aristotle's works (only the translations of Aristotle's logic by  Boethius were available), Abelard articulated the ""Nominalist"" (Aristotlean) challenge to the dominant ""Realist"" (Neo-Platonic) theology.  Realism had been embraced by the Church since the time of St. Augustine,  and was at this time represented by its greatest master, Anselm of Laon.  Drawing from Aristotle, Abelard disputed the Neo-Platonist assertion of the transcendental existence of universals, and contended these were only human abstractions drawn from particulars. (ergo abstract concepts were merely ""names"", not actual things, thus ""nominalism"") Originating from the region of Nantes, Pierre Abelard was educated by William of Champeaux (a disciple of Anselm's) at the Paris cathedral school of Notre Dame. Around 1103, Abelard defeated William in a debate, and went on to found his own school at Melun. A few years later, around 1108, when Champeaux had retired to the monastery of St. Victor, Abelard returned to Paris and defeated him in debate again. Denied succession to the chair at Notre Dame, Abelard crossed the Seine river and set up his own school in Montagne Sainte-Geneviève (area of the future Sorbonne). Around 1113, Abelard went to Laon, and disputed with Anselm himself, prompting the latter to expel him.   Returning to Paris, by 1115, Abelard finally got the cathedral school chair of Paris and was made canon at Notre Dame. Abelard was now at the height of his fame, attracting and cultivating a crop of brilliant young students. Abelard's career came to a crashing end around 1118, as a result of Abelard's dalliance with Heloise, the daughter of a colleague.  Castrated and resigning his posts, Abelard retired to the abbey of St. Denis, teaching at a nearby priory.  But disputatious as ever, Abelard soon got into trouble again.  In 1121, accused of Sabellianism (a heresy ancestral to unitarianism, denying the Holy Trinity), Abelard was indicted and censured by the ecclesiastical council of Soissons.  In 1125, Abelard retired to a monastery in Brittany and resumed his contact with Heloise, who was at that time confined to a convent at Argenteuil (the famous correspondence between Abelard and Heloise stems from here). Around 1130, Abelard was allowed to return to Paris and resume teaching at Montagne Sainte-Geneviève.   It was during this time that Abelard wrote his most famous works. Abelard was called to defend his works in 1140 at the Synod of Sens, before the powerful Cistercian abbot Bernard de Clairvaux.  But the proceedings were not a disputation (as he had expected) but a trial.  Bernard had the rationalist writings of Abelard (and also Arnold of Brescia) condemned by the Synod. Peter Abelard died in 1142.  His students, notably Peter Lombard and John of Salisbury  would carry on his legacy (another student, Guido di Castello, ascended to St. Peter's throne as Pope Celestine II in 1143, just after Abelard's death).  Abelard's school of Sainte Genevieve, together with the cathedral school of Notre Dame and William's school at Saint Victor, are regarded as the triple-cradle of the University of Paris, which would take shape before 1170, with royal recognition by 1200, and papal recognition in 1215. The pioneering methodology of Abelard would be adopted by the Scholastics.  Armed with the greater hoard of translated works from Aristotle that soon arrived, the Scholastics would dominate the European intellectual landscape from the 13th to 15th Century.        Major Works of Pierre Abelard     Resources on Pierre Abelard   All rights reserved, Gonçalo L. Fonseca"
Moses Abramovitz, 1912-2000,https://www.hetwebsite.net/het/profiles/abramovitz.htm," American Institutionalist, business cycle and growth economist at Stanford.      Major Works of Moses Abramovitz HET Resources   Resources on Moses Abramovitz  All rights reserved, Gonçalo L. Fonseca"
Francesco Accorso (Accursius), c. 1182 – 1263.,https://www.hetwebsite.net/het/profiles/accursius.htm," Italian Scholastic jurist of Bologna,  the great glossator of civil law (Roman law) in the Middle Ages. Francesco Accorso (nicknamed ""Accursius"")  of Bagnolo  was originally from the outskirts of Florence, and went on to study civil law  under Azo of Bologna.  Accursius received his doctorate around 1213, and went on to teach in Bologna. The Justinian code (Corpus Juris Civilis), the great compendium of Roman civil law, originally compiled in the 6th C. had been recovered in Bologna in the late 12th C.  Bolognese scholars, from Irnerius onwards, had written numerous glosses (notes on the margins of the manuscripts) to explain the definitions, content and meaning of the Roman legal concepts in Justinian's texts.  Around 1220,  Accurius began his monumental task of collecting sorting the glosses scattered through numerous manuscripts, and compiling them into a single collection.  Accursius's collection, known as the Glossa Magistralis (""Great Gloss""), of the entire Justinian corpus was completed around 1228, and came out in 1234/35.  (the comparable feat in canon law was the Glossa Ordinaria of Johannes Teutonicus). The influence of Accursius ""Great Gloss"" on the development of civil law and jurisprudence in centuries to come can hardly be overstated.   Typical of his authority is the old formula Quidquid non agnoscit glossa, non curia agnoscit (""What the gloss does not recognize, the court does not recognize""). Accursius continued teaching at Bologna throughout the end of his life, sometimes working on the side as a consultant, lawyer and examiner of Bolognese notaries.  He died in 1263.      Major Works of Accursius     Resources on Accursius   All rights reserved, Gonçalo L. Fonseca"
Gardner Ackley, 1915-1998,https://www.hetwebsite.net/het/profiles/ackley.htm,"H. Gardner Ackley served as economic advisor under the Kennedy and Johnson administrations in the 1960s.  Ackley was chairman of the Council of Economic Advisers from 1964 to 1968.  Ackley obtained his Ph.D. from the University of Michigan in 1940, and was promptly appointed to the faculty of the same department. With interruptions for government service, Ackley would remain associated with Michigan for much of the remainder of his life. Ackley was president of the AEA in 1982.      Major Works of H. Gardner Ackley   Resources on Gardner Ackley   All rights reserved, Gonçalo L. Fonseca"
Henry C. Adams, 1851-1921,https://www.hetwebsite.net/het/profiles/adams.htm,"  Henry Carter Adams was an early American economist, one of the forerunners of the American Institutionalist school. Henry C. Adams was born in Dearborn, Iowa.  Descended from among the earliest English Puritan settlers of Massachusetts, Adams's father Ephraim Adams, a Congregationalist missionary, had been one of the earliest European settlers in Iowa territory.  He was tutored at home by his father, before proceeding to Grinnell College (which his father had founded), from which he graduated in 1874.  He proceeded to enroll in Andover theological seminary, intending to take up the ministerial life.   But he soon changed his course and decided to study economics, which he believed was essential to understanding morals and social reform.  In 1876, Adams entered graduate study at the newly-founded The Johns Hopkins University.  In 1878, Adams became the first Hopkins student to receive a Ph.D. for an economics thesis on the history of US taxation.   He subsequently undertook a two-year study tour of Germany, imbibing the lessons of the German Historical school.  It was in Berlin where Henry C. Adams met Andrew D. White, and persuaded him to appoint him to a lectureship that would introduce economics at Cornell University in 1879.  Adams split semesters teaching at Cornell and Johns Hopkins until 1881, when he began splitting his time between Cornell and Michigan. From his dissertation onwards, Henry C. Adams quickly emerged as a prominent public finance economist - his Public Debts (1887) and Science of Finance (1898) becoming textbooks in the field.  Although conservative in some respects, Adams parted ways from contemporary American apologists by his criticism of laissez faire, calling for regulation of the railroads and the legalization of trade unions.  Jointly with Ely, Adams was one of primary forces behind the creation of the American Economic Association in 1885.  His 1887 article on state regulation, contributed as an AEA monograph, was a pioneering classic in the field.  He was later elected president of the AEA in 1896. Adams was forced out of Cornell in 1887 because of his ""radical"" opinions (Adams identified his 1886 Scientific American article on labor, an impromptu speech during the heat of the Gould railway strike, as the cause of his dismissal).  Adams subsequently became a full professor of political economy and finance at the University of Michigan in 1888, where he remained until his death.  During part of this time,  from 1887 to 1911, Adams took up the job of head statistician at the Interstate Commerce Commission (for which he would deliver several statistical reports on railways and public utilities,  emphasizing the indispensability of state collection of corporate accounts and statistics  for proper regulation; his reflections compiled later in his 1918 book).  Towards the end of his life, Adams composed an economics textbook with an Institutionalist emphasis for use in high schools (1918).      Major Works of Henry C. Adams     Resources on Henry C. Adams   All rights reserved, Gonçalo L. Fonseca"
Herbert Baxter Adams, 1850-1901,https://www.hetwebsite.net/het/profiles/baxteradams.htm,"American historian of the ""New Generation""  at Johns Hopkins. Born in Shutesbury, Massachusetts of early English colonial stock, Herbert Baxter Adams was educated at Philips Exeter Academy and went on to enroll at Amherst College, graduating in 1872 at the top of his class. After a year teaching classics at Williston Seminary, Adams left the United States for graduate study in Germany. After a few months in France and Lausanne, Adams enrolled at courses in history and political science in Heidelberg in early 1874 (where he met fellow American student John Bates Clark). He proceeded for a period of study at Göttingen and Berlin, before returning to Heidelberg to complete his doctorate in 1876 under political scientist J.C. Bluntschli and the German historicist Karl Knies.

Herbert Baxter Adams returned in the Fall of 1876 to the United States to take up a fellowship in history at the newly-founded the Johns Hopkins University. From 1878, Adams was made associate professor in history (he also held a part-time appointment at Smith College in Massachusetts between 1878-81) and, finally, in 1891, ""Professor of American and Institutional History"". 

Although primarily a historian, Henry Baxter Adams saw it as a part of political science. His principal area of research was early American colonial and educational history.  Adams is often credited for introducing the ""seminar"" system of teaching into American universities and making student research central to graduate studies. Adams's history seminar at Hopkins was influential and much imitated. In 1882, Adams launched The Johns Hopkins University Studies in Historical and Political Science, and in 1884 was one of the founders of the American Historical Association. He also edited the ""Contributions to American Educational History"" series for the US Bureau of Education. Hebert B. Adams was the head of the Department of History, Economics and Politics at Johns Hopkins.  Through the 1880s, historian Herbert Baxter Adams and economist Richard T. Ely trained the next generation of American Institutionalists at Hopkins.  Adams's most notable students however were primarily historians, notably Woodrow Wilson and Frederick Jackson Turner. Falling ill in 1899, Adams died in 1901.      Major Works of Herbert Baxter Adams     Resources on Herbert Baxter Adams All rights reserved, Gonçalo L. Fonseca"
Thomas S. Adams, 1873-1933.  ,https://www.hetwebsite.net/het/profiles/tsadams.htm,"Fiscal expert at Yale. Thomas Sewall Adams obtained his Ph.D. at Johns Hopkins in 1899, and, after a brief stint as assistant treasurer in Puerto Rico, joined the faculty at the University of Wisconsin in 1901, brought in by Richard T. Ely.  Later, T.S. Adams became professor of economics at Yale in 1916. Thomas S. Adams was a frequent government advisor. A quintessential progressive, T.S. Adams's work on the Wisconsin Tax Commission led him to become an advisor on tax policy to the Treasury under Woodrow Wilson during WWI, and serve as chairman of the national tax advisory board in the aftermath.       Major Works of Thomas S. Adams     Resources on  T.S. Adams   All rights reserved, Gonçalo L. Fonseca"
Irma Adelman, 1930-2017,https://www.hetwebsite.net/het/profiles/adelman.htm," Irma Adelman was born in Czernwotz, Romania, to a Jewish family. The family moved to British Palestine in 1939, subsequently Israel after 1948, where Irma would complete her school education. She emigrated to the United States to enroll at the University of California Berkeley, where she would obtain her BA in 1950 an eventually her Ph.D in 1955, with a thesis on Walras's monetary theory. As a woman, Irma Adelman had difficulties securing a permanent position, and would hold a series on temporary appointments at Berkeley and Stanford. During this time, she published several seminal works, .e.g. on the Klein-Goldberger model confirming the shock-based cycle hypothesis of Frisch (1959), computation of indexes using hedonic pricing (with Griliches, 1959) and her theoretical book on economic growth (1961).   In 1962, Adelman obtained a permanent position at the Johns Hopkins University in Baltimore.   It was during this period that she began her work in economic development, and was a frequent consultant used by the the USAID in Washington DC.  She served as an important consultant for the South Korean government's development plane from 1965. It was during her period there that Adelman initiated her long collaboration with Cythia Taft Morris, and began her work on large scale econometric models, bringing factor analysis into economics.  Adelman moved to Chicago in 1966 to take up a position at Northwestern.  It was here that Adelman initiated her long collaboration with Cynthia Taft Morris, and began her work on large scale econometric models, bringing factor analysis into economics.  She also went on to pioneer the construction of computational general equilibrium models.  However, her work as a development economists drove her back to Washington, initially at the World Bank in 1971, then at the University of Maryland from 1972.   Adelman returned to her alma mater, UC Berkeley, in 1979, initially at the Department of Agricultural Economics.  She remains at Berkeley to this day.      Major Works of Irma Adelman     Resources on Irma Adelman   All rights reserved, Gonçalo L. Fonseca"
